"date","long","short"
1952-01-01,4.11,0.99
1952-04-01,4.23,2.32
1952-07-01,4.36,2.47
1952-10-01,4.19,2.42
1953-01-01,4.13,2.4
1953-04-01,3.94,2.38
1953-07-01,3.98,2.35
1953-10-01,3.8,2.1
1954-01-01,3.79,2.1
1954-04-01,3.71,2.05
1954-07-01,3.35,1.56
1954-10-01,3.35,1.59
1955-01-01,3.64,2.36
1955-04-01,4.15,3.9
1955-07-01,4.47,3.97
1955-10-01,4.5,4.07
1956-01-01,4.84,4.07
1956-04-01,4.85,5.01
1956-07-01,5.27,4.98
1956-10-01,5.33,4.99
1957-01-01,4.91,4.55
1957-04-01,5.11,3.91
1957-07-01,5.6,3.85
1957-10-01,5.84,6.6
1958-01-01,5.66,6.13
1958-04-01,5.45,5.18
1958-07-01,5.46,4.16
1958-10-01,5.35,3.58
1959-01-01,5.2,3.11
1959-04-01,5.22,3.28
1959-07-01,5.13,3.48
1959-10-01,5.06,3.39
1960-01-01,5.34,4.54
1960-04-01,5.59,4.65
1960-07-01,5.97,5.55
1960-10-01,5.97,5.08
1961-01-01,6.01,4.17
1961-04-01,6.01,4.4
1961-07-01,6.52,6.69
1961-10-01,6.33,5.73
1962-01-01,6.35,5.25
1962-04-01,6.24,4.05
1962-07-01,5.98,3.89
1962-10-01,5.37,3.86
1963-01-01,5.54,3.49
1963-04-01,5.5,3.71
1963-07-01,5.2,3.76
1963-10-01,5.26,3.75
1964-01-01,5.64,3.75
1964-04-01,5.93,4.3
1964-07-01,6.02,4.65
1964-10-01,6.06,4.7
1965-01-01,6.41,6.55
1965-04-01,6.61,6.38
1965-07-01,6.8,5.63
1965-10-01,6.37,5.44
1966-01-01,6.52,5.49
1966-04-01,6.78,5.64
1966-07-01,7.29,6.68
1966-10-01,6.96,6.51
1967-01-01,6.58,6.08
1967-04-01,6.46,5.41
1967-07-01,6.92,5.35
1967-10-01,7,5.73
1968-01-01,7.28,7.52
1968-04-01,7.34,7.08
1968-07-01,7.63,7.06
1968-10-01,7.7,6.5
1969-01-01,8.47,6.73
1969-04-01,8.9,7.8
1969-07-01,9.19,7.83
1969-10-01,8.95,7.75
1970-01-01,8.98,7.51
1970-04-01,9.33,6.77
1970-07-01,9.11,6.82
1970-10-01,9.4,6.81
1971-01-01,9.68,6.77
1971-04-01,9.13,5.68
1971-07-01,9.22,5.56
1971-10-01,8.51,4.56
1972-01-01,7.74,4.35
1972-04-01,8.23,4.27
1972-07-01,9.32,5.76
1972-10-01,9.48,6.89
1973-01-01,9.6,8.13
1973-04-01,9.97,7.67
1973-07-01,10.96,10.8
1973-10-01,11.34,10.6
1974-01-01,13.43,12
1974-04-01,14.25,11.4
1974-07-01,14.98,11.1
1974-10-01,16.59,10.8
1975-01-01,15.15,10.9
1975-04-01,15.05,9.24
1975-07-01,14.19,10.4
1975-10-01,15,11.4
1976-01-01,13.22,9.3
1976-04-01,13.78,9.94
1976-07-01,14.36,10.8
1976-10-01,16.23,14.4
1977-01-01,13.95,11.7
1977-04-01,13.02,7.5
1977-07-01,13.5,7.3
1977-10-01,10.76,4.48
1978-01-01,11.46,5.77
1978-04-01,12.72,6.99
1978-07-01,12.62,9.11
1978-10-01,12.97,10.9
1979-01-01,14.05,12
1979-04-01,11.62,11.2
1979-07-01,12.56,13.3
1979-10-01,13.45,13.4
1980-01-01,14.07,15.7
1980-04-01,14.09,16
1980-07-01,13.11,14.4
1980-10-01,13.15,14.3
1981-01-01,13.86,12.6
1981-04-01,13.8,11.2
1981-07-01,15.04,13.8
1981-10-01,15.96,15.6
1982-01-01,14.89,13.5
1982-04-01,13.91,12.9
1982-07-01,13.02,11
1982-10-01,10.25,8.83
1983-01-01,11.98,10.9
1983-04-01,10.62,9.68
1983-07-01,11.21,9.4
1983-10-01,10.48,8.83
1984-01-01,10.35,8.86
1984-04-01,10.57,8.36
1984-07-01,11.67,11.3
1984-10-01,10.69,9.88
1985-01-01,10.96,11.5
1985-04-01,10.68,11.9
1985-07-01,10.44,10.9
1985-10-01,10.22,11.1
1986-01-01,10.8,12.1
1986-04-01,8.76,9.85
1986-07-01,9.37,9.53
1986-10-01,10.62,10.5
1987-01-01,10.09,10.5
1987-04-01,9.12,9.17
1987-07-01,9.23,8.94
1987-10-01,9.68,8.87
1988-01-01,9.57,8.21
1988-04-01,9.12,7.83
1988-07-01,9.51,10.2
1988-10-01,9.23,11.5
