"AIRLINE","FULLTIME","PARTTIME","TOTAL","FTequiv","TYPE"
"Alaska",7437,1159,8597,8017,1
"America West",8932,2585,11517,10225,1
"American",73335,13754,87089,80212,1
"Continental",28283,6513,34796,31540,1
"Delta",56878,11911,68789,62834,1
"DHL Airways",7234,2595,9830,8532,1
"Federal Express",79189,51724,130913,105051,1
"Northwest",45437,2483,47921,46679,1
"Southwest",23304,849,24153,23728,1
"Trans World",77517,11113,88630,83073,1
"United Parcel Service",4272,140,4412,4342,1
"US Airways",37468,4749,42217,39842,1
"Air Transport",548,83,630,589,2
"Air Wisconsin",722,88,810,766,2
"Aloha",1553,692,2244,1898,2
"American Int'l",2381,498,2879,2630,2
"American Trans Air",3971,686,4656,4313,2
"Arrow",339,4,343,341,2
"Atlantic Southeast",2209,264,2473,2341,2
"Atlas Air",583,9,592,587,2
"Carnival",1213,215,1428,1320,2
"Challenge",579,3,583,581,2
"Continental Express",2077,342,2419,2248,2
"Continental Micronesia",1559,458,2016,1787,2
"Emery",937,39,976,957,2
"Evergreen",416,23,440,428,2
"Executive",962,526,1487,1225,2
"Hawaiian",2166,380,2546,2356,2
"Horizon Air",2484,389,2873,2679,2
"Kiwi Int'l",448,121,569,509,2
"Mesa",1402,185,1587,1495,2
"Midway",609,220,830,719,2
"Midwest Exp",1588,187,1775,1681,2
"Polar",426,98,524,475,2
"Reno Air",1882,381,2262,2072,2
"Rich",14,3,17,16,2
"Simmons",3602,510,4112,3857,2
"Southern Air",547,152,699,623,2
"Sun Country",1021,48,1069,1045,2
"Tower",1198,383,1581,1389,2
"Trans States",1491,330,1821,1656,2
"US Airways Shuttle",513,54,568,540,2
"ValuJet",1626,522,2147,1887,2
"Western Pacific",1025,421,1447,1236,2
"World",818,81,899,858,2
"Air South",337,94,430,384,3
"Airtran",447,88,536,492,3
"Amerijet",357,79,436,397,3
"Av Atlantic",73,31,104,88,3
"Express One",386,43,429,408,3
"Fine Airlines",703,0,703,703,3
"Frontier",690,115,805,747,3
"Gemini",237,0,237,237,3
"Great American",96,8,104,100,3
"Kitty Hawk",310,0,310,310,3
"MGM Grand",186,1,187,187,3
"Mesaba",795,228,1023,909,3
"Miami Air",333,21,354,343,3
"North American",142,28,169,156,3
"Northern Air",210,22,232,221,3
"Pan Am",512,22,533,522,3
"Reeve",289,48,337,313,3
"Ryan Int'l",635,14,649,642,3
"Spirit",457,122,578,518,3
"Sun Jet",78,10,88,83,3
"UFS",386,103,489,438,3
"USA Jet",261,7,268,265,3
"Vanguard",349,69,418,383,3
"Zantop",469,27,496,482,3
"Capital Cargo",42,1,43,42,4
"Casino Express",105,0,105,105,4
"Custom Air",82,4,86,84,4
"Eastwind",32,63,96,64,4
"Falcon",59,0,59,59,4
"Florida West",33,1,35,34,4
"Jettrain",7,0,7,7,4
"Laker",108,0,108,108,4
"Lynden",24,3,27,26,4
"Millon",17,0,17,17,4
"Nations",52,0,52,52,4
"Omni Air Exp.",53,1,54,54,4
"Pace",9,4,13,11,4
"Panagra",36,3,39,37,4
"Prestige",23,8,32,27,4
"Pro Air",59,1,60,59,4
"Renown",49,0,49,49,4
"Sierra",39,0,39,39,4
"Sky Trek",32,0,33,32,4
"Sun Pacific",111,3,114,112,4
"Sunworld",36,0,36,36,4
"Tatonduk",87,6,93,90,4
"Trans Air Link",29,2,31,30,4
"Trans Continental",130,2,132,131,4
"Trans Meridian",204,0,204,204,4
