"FailTime","Withdrawal"
0.01,"No"
1.21,"No"
1.71,"No"
2.3,"No"
2.96,"No"
0.19,"No"
1.22,"No"
1.75,"No"
2.3,"No"
2.98,"No"
0.51,"No"
1.24,"No"
1.77,"No"
2.41,"No"
3.19,"No"
0.57,"No"
1.48,"No"
1.79,"No"
2.44,"No"
3.25,"No"
0.7,"No"
1.54,"No"
1.88,"No"
2.57,"No"
3.31,"No"
0.73,"No"
1.59,"No"
1.9,"No"
2.61,"No"
1.19,"No"
0.75,"No"
1.61,"No"
1.93,"No"
2.62,"No"
3.5,"No"
0.75,"No"
1.61,"No"
2.01,"No"
2.72,"No"
3.5,"No"
1.11,"No"
1.62,"No"
2.16,"No"
2.76,"No"
3.5,"No"
1.16,"Yes"
1.62,"Yes"
2.18,"Yes"
2.84,"Yes"
3.5,"Yes"
