"gender","gpa","gpa.max","sat","salary"
"F",3.85,,2230,
"M",3.9,,2200,
"M",100.53,,1850,70
"F",3.5,,2260,60
"F",4.7,,2160,
"F",,,2130,
"F",95.2,,2200,85
"F",3.9,,2140,
"M",3.8,,2330,80
"M",4.3,5.6,2240,70
"F",3.89,,2330,65
"M",4.5,,2250,70
"F",4.48,,,
"F",4,,2120,54
"F",3.8,,2100,40
"F",3.9,,2250,70
"F",3.8,,2320,
"M",4,,,100
"M",3.95,,2090,80
"M",3.7,,2010,80
"F",4.4,,2160,100
"M",96,,2110,50
"F",4,,2330,60
"F",,,,
"M",4,,2350,60
"M",95,100,2220,60
"M",4,,2300,60
"F",4.2,,1860,45
"M",3.6,,2180,80
"M",95,,2130,80
"M",4,,,65
"M",4.204,,2130,80
"M",93.5,,,60
"M",4,,2060,90
"F",4,,2120,80
"M",3.8,,2250,
"M",3.96,,1940,50
"M",96,,2310,90
"M",3.9,,2160,250
"M",4,,2250,60
"F",4,,2080,70
"M",9.43,10,,62.4
"M",3.58,,2160,60
"F",3.75,,2090,67
"M",3.97,,2180,80
"M",,,2340,
"F",3.8,,2120,70
"M",3.9,,2080,76
"M",3.95,,2300,60
"M",97.2,,1810,60
"F",4.14,,2200,60
"F",4.03,,1930,70
"M",4,,1980,75
"M",3.9,,2320,65
"F",4.16,,2140,60
"F",3.8,,2230,
"M",95,100,2130,60
"M",3.7,,2100,300
"M",3.925,,2080,65
"M",3.89,,2260,50
"F",3.8,,1760,60
"M",3.9,,2230,50
"M",4,,,85
"F",3.8,,2290,80
